,Date,Pollster,Answer,Percent
47,2019-05-17 00:00:00,Survation,no answer / don't know,4
48,2019-04-05 00:00:00,BMG Research,remain,51
49,2019-04-05 00:00:00,BMG Research,leave,42
50,2019-04-05 00:00:00,BMG Research,no answer / don't know,7
51,2019-03-15 00:00:00,Survation,remain,51
52,2019-03-15 00:00:00,Survation,leave,45
53,2019-03-15 00:00:00,Survation,no answer / don't know,4
54,2019-02-18 00:00:00,Survation,remain,47
55,2019-02-18 00:00:00,Survation,leave,44
56,2019-02-18 00:00:00,Survation,no answer / don't know,9
57,2019-01-30 00:00:00,Survation,remain,52
58,2019-01-30 00:00:00,Survation,leave,43
59,2019-01-30 00:00:00,Survation,no answer / don't know,5
60,2019-01-11 00:00:00,Survation,remain,47
61,2019-01-11 00:00:00,Survation,leave,45
62,2019-01-11 00:00:00,Survation,no answer / don't know,8
63,2018-12-07 00:00:00,BMG Research,remain,52
64,2018-12-07 00:00:00,BMG Research,leave,40
65,2018-12-07 00:00:00,BMG Research,no answer / don't know,8
66,2018-11-15 00:00:00,Survation,remain,50
67,2018-11-15 00:00:00,Survation,leave,45
68,2018-11-15 00:00:00,Survation,no answer / don't know,5
69,2018-11-09 00:00:00,BMG Research,remain,49
70,2018-11-09 00:00:00,BMG Research,leave,42
71,2018-11-09 00:00:00,BMG Research,no answer / don't know,9
72,2018-11-02 00:00:00,Survation,remain,50
73,2018-11-02 00:00:00,Survation,leave,44
74,2018-11-02 00:00:00,Survation,no answer / don't know,6
75,2018-10-05 00:00:00,BMG Research,remain,48
76,2018-10-05 00:00:00,BMG Research,leave,41
77,2018-10-05 00:00:00,BMG Research,no answer / don't know,11
78,2018-09-29 00:00:00,BMG Research,remain,47
79,2018-09-29 00:00:00,BMG Research,leave,43
80,2018-09-29 00:00:00,BMG Research,no answer / don't know,10
81,2018-09-22 00:00:00,BMG Research,remain,48
82,2018-09-22 00:00:00,BMG Research,leave,42
83,2018-09-22 00:00:00,BMG Research,no answer / don't know,10
84,2018-09-07 01:00:00,BMG Research,remain,47
85,2018-09-07 01:00:00,BMG Research,leave,43
86,2018-09-07 01:00:00,BMG Research,no answer / don't know,10
87,2018-09-07 00:00:00,Survation,remain,47
88,2018-09-07 00:00:00,Survation,leave,46
89,2018-09-07 00:00:00,Survation,no answer / don't know,7
90,2018-09-01 00:00:00,Survation,remain,47
91,2018-09-01 00:00:00,Survation,leave,47
92,2018-09-01 00:00:00,Survation,no answer / don't know,6
93,2018-08-10 00:00:00,BMG Research,remain,49
94,2018-08-10 00:00:00,BMG Research,leave,41
95,2018-08-10 00:00:00,BMG Research,no answer / don't know,10
96,2018-07-26 00:00:00,YouGov,remain,45
97,2018-07-26 00:00:00,YouGov,leave,42
98,2018-07-26 00:00:00,YouGov,no answer / don't know,13
99,2018-07-20 00:00:00,YouGov,remain,44
100,2018-07-20 00:00:00,YouGov,leave,40
101,2018-07-20 00:00:00,YouGov,no answer / don't know,16
102,2018-07-07 00:00:00,Survation,remain,49
103,2018-07-07 00:00:00,Survation,leave,45
104,2018-07-07 00:00:00,Survation,no answer / don't know,6
105,2018-07-05 00:00:00,BMG Research,remain,49
106,2018-07-05 00:00:00,BMG Research,leave,43
107,2018-07-05 00:00:00,BMG Research,no answer / don't know,8
108,2018-06-20 00:00:00,Survation,remain,50
109,2018-06-20 00:00:00,Survation,leave,44
110,2018-06-20 00:00:00,Survation,no answer / don't know,6
111,2018-06-08 00:00:00,BMG Research,remain,46
112,2018-06-08 00:00:00,BMG Research,leave,43
113,2018-06-08 00:00:00,BMG Research,no answer / don't know,11
114,2018-06-04 00:00:00,Survation,remain,48
115,2018-06-04 00:00:00,Survation,leave,47
116,2018-06-04 00:00:00,Survation,no answer / don't know,5
117,2018-05-10 00:00:00,Survation,remain,47
118,2018-05-10 00:00:00,Survation,leave,47
119,2018-05-10 00:00:00,Survation,no answer / don't know,6
120,2018-05-04 00:00:00,BMG Research,remain,47
121,2018-05-04 00:00:00,BMG Research,leave,43
122,2018-05-04 00:00:00,BMG Research,no answer / don't know,10
123,2018-04-14 00:00:00,Survation,remain,47
124,2018-04-14 00:00:00,Survation,leave,46
125,2018-04-14 00:00:00,Survation,no answer / don't know,7
126,2018-04-13 00:00:00,BMG Research,remain,49
127,2018-04-13 00:00:00,BMG Research,leave,40
128,2018-04-13 00:00:00,BMG Research,no answer / don't know,11
129,2018-03-16 00:00:00,BMG Research,remain,49
130,2018-03-16 00:00:00,BMG Research,leave,42
131,2018-03-16 00:00:00,BMG Research,no answer / don't know,9
132,2018-02-09 00:00:00,BMG Research,remain,47
133,2018-02-09 00:00:00,BMG Research,leave,44
134,2018-02-09 00:00:00,BMG Research,no answer / don't know,9
135,2018-01-29 00:00:00,Survation,remain,49
136,2018-01-29 00:00:00,Survation,leave,46
137,2018-01-29 00:00:00,Survation,no answer / don't know,5
138,2018-01-12 00:00:00,BMG Research,remain,48
139,2018-01-12 00:00:00,BMG Research,leave,44
140,2018-01-12 00:00:00,BMG Research,no answer / don't know,8
141,2017-12-08 00:00:00,BMG Research,remain,51
142,2017-12-08 00:00:00,BMG Research,leave,41
143,2017-12-08 00:00:00,BMG Research,no answer / don't know,8
144,2017-12-01 00:00:00,Survation,remain,48
145,2017-12-01 00:00:00,Survation,leave,44
146,2017-12-01 00:00:00,Survation,no answer / don't know,8
147,2017-11-17 00:00:00,BMG Research,remain,45
148,2017-11-17 00:00:00,BMG Research,leave,45
149,2017-11-17 00:00:00,BMG Research,no answer / don't know,10
150,2017-10-20 00:00:00,BMG Research,remain,47
151,2017-10-20 00:00:00,BMG Research,leave,44
152,2017-10-20 00:00:00,BMG Research,no answer / don't know,9
153,2017-10-05 00:00:00,Survation,remain,49
154,2017-10-05 00:00:00,Survation,leave,45
155,2017-10-05 00:00:00,Survation,no answer / don't know,6
156,2017-09-23 00:00:00,Survation,remain,46
157,2017-09-23 00:00:00,Survation,leave,47
158,2017-09-23 00:00:00,Survation,no answer / don't know,7
159,2017-09-20 00:00:00,Survation,remain,47
160,2017-09-20 00:00:00,Survation,leave,47
161,2017-09-20 00:00:00,Survation,no answer / don't know,6
162,2017-09-15 00:00:00,BMG Research,remain,47
163,2017-09-15 00:00:00,BMG Research,leave,43
164,2017-09-15 00:00:00,BMG Research,no answer / don't know,10
165,2017-08-11 00:00:00,BMG Research,remain,46
166,2017-08-11 00:00:00,BMG Research,leave,45
167,2017-08-11 00:00:00,BMG Research,no answer / don't know,9
168,2017-07-15 00:00:00,Survation,remain,47
169,2017-07-15 00:00:00,Survation,leave,48
170,2017-07-15 00:00:00,Survation,no answer / don't know,5
171,2017-07-14 00:00:00,BMG Research,remain,46
172,2017-07-14 00:00:00,BMG Research,leave,45
173,2017-07-14 00:00:00,BMG Research,no answer / don't know,9
174,2017-06-30 00:00:00,Survation,remain,51
175,2017-06-30 00:00:00,Survation,leave,44
176,2017-06-30 00:00:00,Survation,no answer / don't know,5
177,2017-06-17 00:00:00,Survation,remain,50
178,2017-06-17 00:00:00,Survation,leave,48
179,2017-06-17 00:00:00,Survation,no answer / don't know,2
180,2017-06-10 00:00:00,Survation,remain,48
181,2017-06-10 00:00:00,Survation,leave,46
182,2017-06-10 00:00:00,Survation,no answer / don't know,6
183,2017-06-05 00:00:00,BMG Research,remain,47
184,2017-06-05 00:00:00,BMG Research,leave,44
185,2017-06-05 00:00:00,BMG Research,no answer / don't know,9
186,2017-05-22 00:00:00,BMG Research,remain,45
187,2017-05-22 00:00:00,BMG Research,leave,45
188,2017-05-22 00:00:00,BMG Research,no answer / don't know,10
189,2017-04-24 00:00:00,BMG Research,remain,45
190,2017-04-24 00:00:00,BMG Research,leave,45
191,2017-04-24 00:00:00,BMG Research,no answer / don't know,10
192,2017-03-31 00:00:00,BMG Research,remain,46
193,2017-03-31 00:00:00,BMG Research,leave,46
194,2017-03-31 00:00:00,BMG Research,no answer / don't know,8
195,2017-02-24 00:00:00,BMG Research,remain,45
196,2017-02-24 00:00:00,BMG Research,leave,46
197,2017-02-24 00:00:00,BMG Research,no answer / don't know,9
198,2017-01-09 00:00:00,BMG Research,remain,44
199,2017-01-09 00:00:00,BMG Research,leave,45
200,2017-01-09 00:00:00,BMG Research,no answer / don't know,11
201,2016-12-09 00:00:00,BMG Research,remain,43
202,2016-12-09 00:00:00,BMG Research,leave,46
203,2016-12-09 00:00:00,BMG Research,no answer / don't know,11
204,2016-11-27 00:00:00,ComRes,remain,46
205,2016-11-27 00:00:00,ComRes,leave,47
206,2016-11-27 00:00:00,ComRes,no answer / don't know,7
207,2016-11-25 00:00:00,BMG Research,remain,43
208,2016-11-25 00:00:00,BMG Research,leave,43
209,2016-11-25 00:00:00,BMG Research,no answer / don't know,14
210,2016-10-24 00:00:00,BMG Research,remain,45
211,2016-10-24 00:00:00,BMG Research,leave,43
212,2016-10-24 00:00:00,BMG Research,no answer / don't know,12
